"year","reg","stat","sex","s.age","length","mean","sd","n","se"
"82",1964,"3A ",281,"F",8,"length",106.5,2.12132034355964,2,1.5
"83",1964,"3A ",281,"F",9,"length",98,15.4434452114805,5,6.9065186599328
"84",1964,"3A ",281,"F",10,"length",112.25,12.6852933220587,4,6.34264666102934
"85",1964,"3A ",281,"F",11,"length",112.5,23.3345237791561,2,16.5
"86",1964,"3A ",281,"F",13,"length",128.5,9.19238815542512,2,6.5
"87",1964,"3A ",281,"F",15,"length",167,0,1,0
"88",1964,"3A ",281,"M",7,"length",76.5,3.53553390593274,2,2.5
"89",1964,"3A ",281,"M",8,"length",87.3333333333333,17.0098010962308,3,9.82061324177082
"90",1964,"3A ",281,"M",9,"length",94,0,1,0
"91",1964,"3A ",281,"M",10,"length",114,2.82842712474619,2,2
"92",1964,"3A ",281,"M",11,"length",89,0,1,0
"93",1964,"3B ",290,"F",7,"length",79,16.4772570532841,5,7.36885337077622
"94",1964,"3B ",290,"F",8,"length",105.428571428571,11.0883894661209,7,4.19101728108345
"95",1964,"3B ",290,"F",9,"length",103.692307692308,12.3449356376385,13,3.42386911029294
"96",1964,"3B ",290,"F",10,"length",118.2,15.4822478988033,5,6.9238717492455
"97",1964,"3B ",290,"F",11,"length",132.4,7.36885337077622,5,3.29545141065682
"98",1964,"3B ",290,"F",12,"length",141,0,1,0
"99",1964,"3B ",290,"F",13,"length",149,5.65685424949238,2,4
"100",1964,"3B ",290,"F",14,"length",152.666666666667,18.8767935130237,3,10.8985218161812
"101",1964,"3B ",290,"F",16,"length",165,2.82842712474619,2,2
"102",1964,"3B ",290,"M",7,"length",73,10.2678416148951,8,3.63023021702087
"103",1964,"3B ",290,"M",8,"length",88,15.1327459504216,3,8.73689494805411
"104",1964,"3B ",290,"M",9,"length",87,12.7867118525444,5,5.71839138219832
"105",1964,"3B ",290,"M",10,"length",100.75,8.26135582092915,4,4.13067791046458
"106",1964,"3B ",291,"F",7,"length",89.625,14.342120783602,8,5.07070543134075
"107",1964,"3B ",291,"F",8,"length",106,16.5227116418583,3,9.53939201416946
"108",1964,"3B ",291,"F",9,"length",110.25,11.8988794990677,4,5.94943974953384
"109",1964,"3B ",291,"F",10,"length",115.75,15.8403493227475,4,7.92017466137374
